date,home_team,away_team,home_team_score,away_team_score,neutral_location,home_team_result,year,goalkeeper_differential,defense_differential,offense_differential,midfield_differential,possesion_differential,shots_on_target_differential,shots_differential,yellow_cards_differential,red_card_differential,fouls_differential,saves_differential,score_differential,fifa_rank_differential
2014-07-04,France,Germany,0,1,True,Lose,2014,-3,-3.5,-2.4000000000000057,-1,0,3,5,-2,0,-3,-3,-1,15
2014-07-05,Argentina,Belgium,1,0,True,Win,2014,-5,0,8.299999999999997,0.7000000000000028,2,3,0,-1,0,-3,0,1,-6
2014-07-05,Netherlands,Costa Rica,0,0,True,Win,2014,2,5.700000000000003,14.700000000000003,8.700000000000003,28,12,14,-2,0,2,-6,0,-13
2014-07-09,Netherlands,Argentina,0,0,True,Lose,2014,1,-4.700000000000003,-2.299999999999997,-1.7000000000000028,6,-1,-1,1,0,5,3,0,10
2014-07-13,Germany,Argentina,1,0,True,Win,2014,8,3.299999999999997,-4.599999999999994,2.799999999999997,28,5,0,0,0,4,-3,1,-3
2016-10-06,Kosovo,Croatia,0,6,True,Lose,2016,-11,-14,-7.299999999999997,-12.700000000000003,-24,-3,-6,1,0,1,-3,-6,154
2016-10-09,Ukraine,Kosovo,3,0,True,Win,2016,8,10.200000000000003,3.5999999999999943,6,28,7,6,-2,0,0,-4,3,-139
2017-03-24,Kosovo,Iceland,1,2,True,Lose,2017,5,-4,-1.2999999999999972,-4.400000000000006,18,-2,0,2,0,5,1,-1,141
2017-06-11,Kosovo,Turkey,1,4,True,Lose,2017,-9,-13.200000000000003,-5.299999999999997,-9.400000000000006,-18,-4,-3,0,1,3,1,-3,148
2018-06-15,Egypt,Uruguay,0,1,True,Lose,2018,-9,-11,-11,-3.200000000000003,-15,-1,-6,2,0,6,0,-1,31
2018-06-15,Portugal,Spain,3,3,True,Draw,2018,-7,-4.799999999999997,0.29999999999999716,-3.799999999999997,-24,-2,-4,0,0,2,2,0,-6
2018-06-16,France,Australia,2,1,True,Win,2018,11,11.799999999999997,13.299999999999997,11.400000000000006,2,4,9,-2,0,-3,-3,1,-29
2018-06-16,Argentina,Iceland,1,1,True,Draw,2018,16,12.200000000000003,16.700000000000003,7.700000000000003,46,4,17,0,0,-5,-5,0,-17
2018-06-16,Croatia,Nigeria,2,0,True,Win,2018,4,6.599999999999994,4,10.299999999999997,6,0,-3,1,0,4,1,2,-28
2018-06-17,Costa Rica,Serbia,0,1,True,Lose,2018,11,-5.5,-3.700000000000003,-6.700000000000003,0,0,0,0,0,3,-1,-1,-11
2018-06-17,Germany,Mexico,0,1,True,Lose,2018,13,8,1,7.5,22,5,13,0,0,-5,-6,-1,-14
2018-06-17,Brazil,Switzerland,1,1,True,Draw,2018,-1,7.799999999999997,12,4,8,2,14,-2,0,-7,-2,0,-4
2018-06-18,Sweden,South Korea,1,0,True,Win,2018,1,5,8,1.2999999999999972,4,5,10,-1,0,-3,-3,1,-33
2018-06-18,Tunisia,England,1,2,True,Lose,2018,-19,-8.799999999999997,-11.599999999999994,-9.299999999999997,-20,-6,-11,-1,0,6,5,-1,9
2018-06-19,Colombia,Japan,1,2,True,Lose,2018,7,3.5999999999999943,5.299999999999997,1.7000000000000028,-16,-3,-6,1,1,6,2,-1,-45
2018-06-19,Poland,Senegal,1,2,True,Lose,2018,9,-0.29999999999999716,2,-0.5999999999999943,18,2,2,-1,0,-7,-2,-1,-19
2018-06-20,Portugal,Morocco,1,0,True,Win,2018,12,5.5,9.700000000000003,3,-8,-2,-6,0,0,-4,3,1,-37
2018-06-20,Uruguay,Saudi Arabia,1,0,True,Win,2018,9,8.299999999999997,14.299999999999997,3.5,-6,1,5,0,0,-3,0,1,-53
2018-06-21,Denmark,Australia,1,1,True,Draw,2018,6,7.299999999999997,4.299999999999997,6.200000000000003,-4,0,-4,2,0,2,-1,0,-24
2018-06-21,Argentina,Croatia,0,3,True,Lose,2018,-2,2.200000000000003,11.400000000000006,-2.299999999999997,16,-2,-5,-1,0,-8,-1,-3,-15
2018-06-22,Brazil,Costa Rica,2,0,True,Win,2018,-2,12.299999999999997,16,9.299999999999997,38,9,19,1,0,0,-7,2,-21
2018-06-22,Nigeria,Iceland,2,0,True,Win,2018,14,3.4000000000000057,1.2999999999999972,-0.29999999999999716,12,1,6,1,0,-1,1,2,26
2018-06-22,Serbia,Switzerland,1,2,True,Lose,2018,-10,1,-0.29999999999999716,1.4000000000000057,-16,-2,-8,3,0,5,1,-1,28
2018-06-23,Belgium,Tunisia,5,2,True,Win,2018,26,9.5,15.599999999999994,12.299999999999997,4,7,8,-1,0,-1,-3,3,-18
2018-06-23,South Korea,Mexico,1,2,True,Lose,2018,-5,-4.299999999999997,-7,-2.5,-16,1,4,4,0,17,-2,-1,42
2018-06-23,Germany,Sweden,2,1,True,Win,2018,17,7.299999999999997,0,8.700000000000003,42,-1,8,-2,1,-1,0,1,-23
2018-06-24,Japan,Senegal,2,2,True,Draw,2018,-1,-4.299999999999997,-4,0,6,-4,-6,-1,0,-6,4,0,34
2018-06-24,Poland,Colombia,0,3,True,Lose,2018,3,0.4000000000000057,0.7000000000000028,-2.299999999999997,-10,-1,-4,2,0,5,-2,-3,-8
2018-06-25,Saudi Arabia,Egypt,2,1,True,Win,2018,0,2.700000000000003,-3.299999999999997,-0.29999999999999716,24,6,14,-2,0,-9,-5,1,22
2018-06-25,Spain,Morocco,2,2,True,Draw,2018,19,10.299999999999997,9.400000000000006,6.799999999999997,38,1,10,-6,0,-12,-1,0,-31
2018-06-26,Denmark,France,0,0,True,Draw,2018,-5,-4.5,-9,-5.200000000000003,-24,-3,-6,1,0,0,3,0,5
2018-06-26,Nigeria,Argentina,1,2,True,Lose,2018,-2,-8.799999999999997,-15.400000000000006,-8,-30,-1,1,-1,0,5,0,-1,43
2018-06-26,Iceland,Croatia,1,2,True,Lose,2018,-18,-10,-5.299999999999997,-10,-18,4,4,1,0,-2,-5,-1,2
2018-06-27,South Korea,Germany,2,0,True,Win,2018,-18,-12.299999999999997,-8,-10,-40,-1,-15,4,0,9,3,2,56
2018-06-27,Mexico,Sweden,0,3,True,Lose,2018,4,-0.7000000000000028,-1,1.2000000000000028,30,-2,6,1,0,3,0,-3,-9
2018-06-27,Serbia,Brazil,0,2,True,Lose,2018,-9,-6.799999999999997,-12.299999999999997,-2.5999999999999943,-12,-5,-3,3,0,6,3,-2,32
2018-06-27,Switzerland,Costa Rica,2,2,True,Draw,2018,-1,4.5,4,5.299999999999997,20,-3,-2,0,0,-5,4,0,-17
2018-06-28,Japan,Poland,0,1,True,Lose,2018,-10,-4,-6,0.5999999999999943,8,1,-1,1,0,3,-2,-1,53
2018-06-28,Senegal,Colombia,0,1,True,Lose,2018,-6,0.7000000000000028,-1.2999999999999972,-1.7000000000000028,-12,1,4,0,0,0,-2,-1,11
2018-06-28,England,Belgium,0,1,True,Lose,2018,-7,-0.7000000000000028,-4,-3,-4,-3,-2,-2,0,-3,2,-1,9
2018-06-30,France,Argentina,4,3,True,Win,2018,5,1,-4.400000000000006,2.700000000000003,-18,0,0,-2,0,6,1,1,2
2018-06-30,Uruguay,Portugal,2,1,True,Win,2018,-1,0.5,0.29999999999999716,-5.200000000000003,-22,-2,-14,-1,0,0,3,1,10
2018-07-01,Croatia,Denmark,1,1,True,Win,2018,2,1.2999999999999972,2,4.799999999999997,6,4,7,-1,0,-14,-5,0,-3
2018-07-02,Brazil,Mexico,2,0,True,Win,2018,4,9,6,3.799999999999997,-8,9,8,-2,0,-12,-7,2,-6
2018-07-02,Belgium,Japan,3,2,True,Win,2018,17,8.299999999999997,10.599999999999994,7,12,4,13,-1,0,4,-3,1,-36
2018-07-03,Sweden,Switzerland,1,0,True,Win,2018,-9,-0.5,7,-1,-28,-1,-6,-1,-1,-2,2,1,13
2018-07-03,Colombia,England,1,1,True,Lose,2018,-3,-4,-1.2999999999999972,-2.299999999999997,-4,2,-2,4,0,10,-2,0,10
2018-07-06,Uruguay,France,0,2,True,Lose,2018,-6,-1.5,-1,-8.200000000000003,-14,2,0,0,0,1,-4,-2,12
2018-07-06,Brazil,Belgium,1,2,True,Lose,2018,-6,3.299999999999997,-0.29999999999999716,-2,14,6,18,0,0,-2,-7,-1,-1
2018-07-07,Sweden,England,0,2,True,Lose,2018,-7,-4.299999999999997,-1.2999999999999972,-4,-14,1,-5,1,0,3,-3,-2,14
2018-07-10,France,Belgium,1,0,True,Win,2018,-1,0.5,-1,0.4000000000000057,-20,2,10,-1,0,-10,-1,1,-3
2018-07-11,Croatia,England,2,1,True,Win,2018,3,-2,-4,3,8,6,11,1,0,9,-5,1,5
2018-07-14,Belgium,England,2,0,True,Win,2018,7,0.7000000000000028,4,3,-14,-1,-3,-1,0,6,3,2,-2
2018-07-15,France,Croatia,4,2,True,Win,2018,3,3.200000000000003,7,0.4000000000000057,-22,3,-7,1,0,1,-2,2,-10
2021-03-27,Norway,Turkey,0,3,True,Lose,2021,0,-2.299999999999997,2.299999999999997,2,16,-2,3,1,1,1,-1,-3,12
2021-06-14,Argentina,Chile,1,1,True,Draw,2021,5,4,14.700000000000003,1.5,8,6,9,0,0,2,-6,0,-11
