date,home_team,away_team,home_team_score,away_team_score,neutral_location,home_team_result,year,goalkeeper_differential,defense_differential,offense_differential,midfield_differential,possesion_differential,shots_on_target_differential,shots_differential,yellow_cards_differential,red_card_differential,fouls_differential,saves_differential,score_differential,fifa_rank_differential
2009-09-09,England,Croatia,5,1,False,Win,2009,1,7.400000000000006,3.700000000000003,6.599999999999994,6,-1,-3,0,0,6,0,4,-2
2009-09-09,Italy,Bulgaria,2,0,False,Win,2009,11,13,8,8.200000000000003,0,-1,-4,0,0,-3,-1,2,-15
2009-09-09,Northern Ireland,Slovakia,0,2,False,Lose,2009,-4,1.7999999999999972,-6.700000000000003,-2.299999999999997,0,2,7,1,0,-2,-4,-2,-14
2009-09-09,Scotland,Netherlands,0,1,False,Lose,2009,-4,-1.7999999999999972,-5.400000000000006,-4.799999999999997,-16,-1,-2,0,0,0,2,-1,27
2009-09-09,Serbia,France,1,1,False,Draw,2009,-11,-3.799999999999997,-6,-4.299999999999997,2,4,5,-1,0,2,-2,0,3
2009-09-09,Wales,Russia,1,3,False,Lose,2009,-9,-6.299999999999997,-10.299999999999997,-1,8,-3,-2,0,0,1,-2,-2,61
2009-09-09,Uruguay,Colombia,3,1,False,Win,2009,0,0.7999999999999972,5.700000000000003,2.5,0,0,4,3,0,2,2,2,-20
2009-09-09,Paraguay,Argentina,1,0,False,Win,2009,-2,-7.700000000000003,-7,-10.799999999999997,0,0,1,2,-1,10,1,1,15
2009-09-09,Brazil,Chile,4,2,False,Win,2009,14,10.599999999999994,8,4,0,3,0,-2,0,2,-1,2,-20
2009-09-09,Venezuela,Peru,3,1,False,Win,2009,1,-9,-8,0.7999999999999972,0,4,6,-2,0,-3,-1,2,-40
2009-10-10,Argentina,Peru,2,1,False,Win,2009,16,13,7.299999999999997,13.799999999999997,0,-1,2,0,0,-1,2,1,-83
2009-10-10,Colombia,Chile,2,4,False,Lose,2009,1,3,0,-3.5,0,-4,-3,-1,-1,-6,1,-2,27
2009-10-10,Ecuador,Uruguay,1,2,False,Lose,2009,-2,-6.799999999999997,-7.299999999999997,-2.299999999999997,0,-1,1,4,0,-2,0,-1,8
2009-10-10,Finland,Wales,2,1,False,Win,2009,4,1.7000000000000028,3.299999999999997,-8,22,3,6,0,0,9,-3,1,-6
2009-10-10,Republic of Ireland,Italy,2,2,False,Draw,2009,-4,-5.799999999999997,-9,-4.799999999999997,-6,0,-1,1,0,7,1,0,34
